o cliente 7590-VHVEG é casado?, SELECT Partner FROM telco_customer WHERE customerID = '7590-VHVEG';, Yes
o cliente 5575-GNVDE possui parceiro, SELECT Partner FROM telco_customer WHERE customerID = '5575-GNVDE';, No
o cliente 3668-QPYBK mora sozinho?, SELECT Partner FROM telco_customer WHERE customerID = '3668-QPYBK';, No
cliente 7795-CFOCW parceiro, SELECT Partner FROM telco_customer WHERE customerID = '7795-CFOCW';, No
o cliente 9237-HQITU é casado?, SELECT Partner FROM telco_customer WHERE customerID = '9237-HQITU';, No
o cliente 9305-CDSKC possui parceiro, SELECT Partner FROM telco_customer WHERE customerID = '9305-CDSKC';, No
o cliente 1452-KIOVK mora sozinho?, SELECT Partner FROM telco_customer WHERE customerID = '1452-KIOVK';, No
cliente 6713-OKOMC parceiro, SELECT Partner FROM telco_customer WHERE customerID = '6713-OKOMC';, No
o cliente 7892-POOKP é casado?, SELECT Partner FROM telco_customer WHERE customerID = '7892-POOKP';, Yes
o cliente 6388-TABGU possui parceiro, SELECT Partner FROM telco_customer WHERE customerID = '6388-TABGU';, No
o cliente 9763-GRSKD mora sozinho?, SELECT Partner FROM telco_customer WHERE customerID = '9763-GRSKD';, Yes
cliente 7469-LKBCI parceiro, SELECT Partner FROM telco_customer WHERE customerID = '7469-LKBCI';, No
o cliente 8091-TTVAX é casado?, SELECT Partner FROM telco_customer WHERE customerID = '8091-TTVAX';, Yes
o cliente 0280-XJGEX possui parceiro, SELECT Partner FROM telco_customer WHERE customerID = '0280-XJGEX';, No
o cliente 5129-JLPIS mora sozinho?, SELECT Partner FROM telco_customer WHERE customerID = '5129-JLPIS';, No
cliente 3655-SNQYZ parceiro, SELECT Partner FROM telco_customer WHERE customerID = '3655-SNQYZ';, Yes
o cliente 8191-XWSZG é casado?, SELECT Partner FROM telco_customer WHERE customerID = '8191-XWSZG';, No
o cliente 9959-WOFKT possui parceiro, SELECT Partner FROM telco_customer WHERE customerID = '9959-WOFKT';, No
o cliente 4190-MFLUW mora sozinho?, SELECT Partner FROM telco_customer WHERE customerID = '4190-MFLUW';, Yes
cliente 4183-MYFRB parceiro, SELECT Partner FROM telco_customer WHERE customerID = '4183-MYFRB';, No
o cliente 8779-QRDMV está conosco a quanto tempo?, SELECT tenure FROM telco_customer WHERE customerID = '8779-QRDMV';, 1
qual a permanencia do cliente 1680-VDCWW ?, SELECT tenure FROM telco_customer WHERE customerID = '1680-VDCWW';, 12
qual o tempo de vínculo do cliente 1066-JKSGK ?, SELECT tenure FROM telco_customer WHERE customerID = '1066-JKSGK';, 1
informe o tempo de relacionamento com o cliente 3638-WEABW ?, SELECT tenure FROM telco_customer WHERE customerID = '3638-WEABW';, 58
o cliente 6322-HRPFA está conosco a quanto tempo?, SELECT tenure FROM telco_customer WHERE customerID = '6322-HRPFA';, 49
qual a permanencia do cliente 6865-JZNKO ?, SELECT tenure FROM telco_customer WHERE customerID = '6865-JZNKO';, 30
qual o tempo de vínculo do cliente 6467-CHFZW ?, SELECT tenure FROM telco_customer WHERE customerID = '6467-CHFZW';, 47
informe o tempo de relacionamento com o cliente 8665-UTDHZ ?, SELECT tenure FROM telco_customer WHERE customerID = '8665-UTDHZ';, 1
o cliente 5248-YGIJN está conosco a quanto tempo?, SELECT tenure FROM telco_customer WHERE customerID = '5248-YGIJN';, 72
qual a permanencia do cliente 8773-HHUOZ ?, SELECT tenure FROM telco_customer WHERE customerID = '8773-HHUOZ';, 17
qual o tempo de vínculo do cliente 3841-NFECX ?, SELECT tenure FROM telco_customer WHERE customerID = '3841-NFECX';, 71
informe o tempo de relacionamento com o cliente 4929-XIHVW ?, SELECT tenure FROM telco_customer WHERE customerID = '4929-XIHVW';, 2
o cliente 6827-IEAUQ está conosco a quanto tempo?, SELECT tenure FROM telco_customer WHERE customerID = '6827-IEAUQ';, 27
qual a permanencia do cliente 7310-EGVHZ ?, SELECT tenure FROM telco_customer WHERE customerID = '7310-EGVHZ';, 1
qual o tempo de vínculo do cliente 3413-BMNZE ?, SELECT tenure FROM telco_customer WHERE customerID = '3413-BMNZE';, 1
informe o tempo de relacionamento com o cliente 6234-RAAPL ?, SELECT tenure FROM telco_customer WHERE customerID = '6234-RAAPL';, 72
o cliente 6047-YHPVI está conosco a quanto tempo?, SELECT tenure FROM telco_customer WHERE customerID = '6047-YHPVI';, 5
qual a permanencia do cliente 6572-ADKRS ?, SELECT tenure FROM telco_customer WHERE customerID = '6572-ADKRS';, 46
qual o tempo de vínculo do cliente 5380-WJKOV ?, SELECT tenure FROM telco_customer WHERE customerID = '5380-WJKOV';, 34
informe o tempo de relacionamento com o cliente 8168-UQWWF ?, SELECT tenure FROM telco_customer WHERE customerID = '8168-UQWWF';, 11
o cliente 8865-TNMNX possuí qual tipo de contrato?, SELECT Contract FROM telco_customer WHERE customerID = '8865-TNMNX';, One year
qual o tipo de contrato o cliente 9489-DEDVP tem?, SELECT Contract FROM telco_customer WHERE customerID = '9489-DEDVP';, Two year
o contrato do cliente 9867-JCZSP é mensal ou anual?, SELECT Contract FROM telco_customer WHERE customerID = '9867-JCZSP';, One year
cliente 4671-VJLCL contrato, SELECT Contract FROM telco_customer WHERE customerID = '4671-VJLCL';, Two year
o cliente 4080-IIARD possuí qual tipo de contrato?, SELECT Contract FROM telco_customer WHERE customerID = '4080-IIARD';, Month-to-month
qual o tipo de contrato o cliente 3714-NTNFO tem?, SELECT Contract FROM telco_customer WHERE customerID = '3714-NTNFO';, Month-to-month
o contrato do cliente 5948-UJZLF é mensal ou anual?, SELECT Contract FROM telco_customer WHERE customerID = '5948-UJZLF';, Month-to-month
cliente 7760-OYPDY contrato, SELECT Contract FROM telco_customer WHERE customerID = '7760-OYPDY';, Month-to-month
o cliente 7639-LIAYI possuí qual tipo de contrato?, SELECT Contract FROM telco_customer WHERE customerID = '7639-LIAYI';, Two year
qual o tipo de contrato o cliente 2954-PIBKO tem?, SELECT Contract FROM telco_customer WHERE customerID = '2954-PIBKO';, Two year
o contrato do cliente 8012-SOUDQ é mensal ou anual?, SELECT Contract FROM telco_customer WHERE customerID = '8012-SOUDQ';, Month-to-month
cliente 9420-LOJKX contrato, SELECT Contract FROM telco_customer WHERE customerID = '9420-LOJKX';, Month-to-month
o cliente 6575-SUVOI possuí qual tipo de contrato?, SELECT Contract FROM telco_customer WHERE customerID = '6575-SUVOI';, Month-to-month
qual o tipo de contrato o cliente 7495-OOKFY tem?, SELECT Contract FROM telco_customer WHERE customerID = '7495-OOKFY';, Month-to-month
o contrato do cliente 4667-QONEA é mensal ou anual?, SELECT Contract FROM telco_customer WHERE customerID = '4667-QONEA';, One year
cliente 1658-BYGOY contrato, SELECT Contract FROM telco_customer WHERE customerID = '1658-BYGOY';, Month-to-month
